TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Production Assistant,NJTV News,$18.75/hour,,2,NJ,"Pitch and produce TV story elements, work on social media, write digital copy",
Magazine editor,non-profit consumer organisation,"£59,000",white woman,30,London,"Sole responsibility for technology print magazine with lots of subscribers, plus ownership of some web content",Many national newspapers plus experience of leading/creating content for corporates
Director,Non-profit media,"70,000",Cisgender mixed race male,5,"Washington, DC","Writing, editing, strategy, and direction","$40,000, $45,000 -- Researcher; $60,000 -- Director"
Photographer,Non-profit Media ,50000,POC / Cis / Male ,5,Texas,"Photography, photo editing, web layout/design, videography and editing","Video Producer in NYC: $62,000, Multimedia Producer in TX: $20K (part-time)"
Senior Editor,Non-profit national radio show/podcast,"107,000",cis female Asian American,9,SF Bay Area,"Manage reporters, evaluate pitches, assign stories, edit stories, participate in hiring processes, go to lots of meetings","Freelance audio reporting/editing, $75-$100/hr; Managing Editor, $72,000; staff reporter/producer $50,000; contract reporter, $500-$1000 per story"
Mid-Level Reporter,Non-Profit News (don't want to say which),"98,000 + 20% 401K contribution","cishet woman, POC",9,California,business beat,"All positions included bonuses ranging from $3K-8K, depending on company's performance.
HuffPost: Senior Health Editor/Reporter: 74K (2018)
HuffPost: Senior Health Editor/Reporter: 60K (after unionizing, bumped up to 70K)
HuffPost: Health Editor/Reporter: 52K
HuffPost: Assoc. News Editor: 40K
HuffPost starting salary: 35K (2011)"
Reporter,Non-profit outlet ,"$90,000 ",Cis POC Female,10,San Francisco Bay Area,"writing, reporting",
Associate Editor,non-profit/journalism outlet,"72,500",female identifying/white,6,,editing/copy editing/fact checking/writing,"45,000 web assistant editor for national publication"
Investigative Reporter,Nonprofit,"$60,000 ",cis white female,3,Chicago,"Report and write investigative stories, shoot photo/video, data analysis ",
Communications Specialist,Nonprofit,"$31,137.60 ",White male,1.5,Midwest,"Newsletters, press releases, social media, grant writing, event planning","News Producer ($18K-$28K), Feature Reporter ($29K)"
Senior editor ,Nonprofit media ,"75,000",cis white female,10,NYC,"Assigning/editing news, features, and some managing roles. ",
Developer,nonprofit media company,82000,white | male,6,California,"frontend dev, dev ops, backend development, data visualization",Web Manager ($68000)
engagement editor,nonprofit news,"$40,000 ",private / white,2,,"manage social media channels, produce web stories, plan engagement and web presentation for large projects, copyedit, direct art for web, make graphics sometimes","$35,000 with the same title, $35,000 with an assistant editor title"
Editor,Nonprofit news outlet,"55,000",cis bi poc male,13,Southeastern U.S.,"Editing, managing team, social media","Got myself up from $32,500 to $40,000 as a subeditor with a strategic transfer with my previous company. Before that, was a managing editor at a nondaily making $27,000 a year. Made about $23,000 at my first reporting job."
Editorial Assistant ,Nonprofit news outlet,"62,000",South Asian,1,New York,,Publicity Assistant (for a year)
Senior editor,Nonprofit news outlet,95000,Cis white male,10,East coast,"Enterprise reporting, investigations, breaking news, events, multimedia",Started at $28k a decade ago
Writer,Nonprofit News Site,"60,000",Cis POC Woman,2,New York City,,Web Producer $41-45K
senior writer,nonprofit news site,"100,000",cis white female,9,NYC,report news and features,"science writer ($55,000)"
Reporter,Nonprofit newsroom ,"$58,000 ",cis white female,5,Chicago,"Investigative reporting, plus daily and enterprise work when needed",
Editor,Nonprofit online news,"$43,000 ",white cis woman,2,"Washington, DC","Assign, edit and produce stories; contribute content; all social media duties",
"Content Producer, Writer & Coordinator",Nonprofit Organization,"$69,000 ",Female POC,7,New York,"Content strategy, content coordination, writing, content production ","$40,000 Communications Associate"
Senior Reporter,Nonprofit outlet,"$47,500 ",cis het Male/POC,8,New York City,"reporting, writing, some editing","Starting salary $25,000/staff reporter"
Investigative Journalist,Nonprofit outlet,"$48,000 ",Straight White Male,5,Washington D.C. ,"FOIA, source generation and interviews, open source and database research, for projects I conceive and pitch and for my coworkers, along with some oversight and consulting on organization wide projects ",Started at $40k
Senior writer,Nonprofit science news,"57,000",Cis white male,5,"Washington, DC",Monthly features,"Junior science comms writer (2 years), 46,000"
Associate Producer,NowThis,"57,500",,2,New York,"editing social video, producing/shooting original content, writing scripts",
Associate Producer,NowThis,"53,500","White, cis, female",4,New York,"Studio Producing, Videography, Coordinating/Scheduling, Equipment management",
Producer,NowThis,"67,300","Woman, latina",2,"New York, NY",Reporting/producing/shooting/script writing/editing original video content; hosting,Associate Producer 57000
Producer,NowThis,73K,Cishet W woman,3.5,NYC,,Associate Producer
Editor,NPR,$105k,cis white man,4,DC,audio side,
Temporary Producer - Social media desk,NPR,"45,000",cis white male,1,"Washington, D.C.",,"Didn't negotiate, was made to feel like I couldn't (you totally can). Union has negotiated minimum salaries for all temp workers"
Assoc. editor,NPR,"$82,000 ","Male, white, straight",9,New York,"Editing, commissioning, producing","Editor, writer"
Assistant Producer,NPR,"$70,000 ",Cis white queer female,1,DC,"Strategy for emerging news experiences - includes expertise in tech and media, audio production, journalism and tech ethics, etc. ","Intern x4, from $0-13.50"
Data journalist,NPR,"$103,000 ",male/white,5,DC,"Analyze data, write stories for npr.org, create data visualiziations",Staring salary: ~$90k (minimum for union band Editor I)
Reporter,NPR,"135,000",Woman/POC,10,DC,Beat reporter covering stories for radio and digital,Previous job as an editor for a broadcast news network paid $140K
Assistant Producer,NPR,"$70,000 ",White cis-het male,3,"Washington, DC",Manage social media accounts for a vertical; audience engagement work; produce digital stories for web; write for newsletter; occasionally write/report web stories,"Prev. job as social producer at small political newspaper: $50,000 starting salary; raised to $55,000
Began NPR job at $65,000"
Digital Editor,NPR,97300,Male/Hispanic,15,"Washington, D.C. ",,
Social Media Strategist,NPR,"60,000",Cis Het Female/White,2,"Washington, DC","Manage social media channels on several platforms, including writing copy, community management, visual asset curation, and inbox response. Work with interns. Assist with art direction. Attend live events - capture content, engage community IRL, live post. ","$37,500 Production Assistant at a different company"
Correspondent,NPR,"140,000",Cis white female,25,DC,,
Senior editor,NPR,135000,"Female, cisgender, Asian-American",10,"Washington, D.C.",Ran a digital team,
Editor I ,NPR ,"$100,000 ",White woman ,15,DC,,
Reporter,NPR affiliate,"$47,000 base, ~$55k with overtime",cis white man,4 years,Mid-Atlantic,"Cover daily news, report features, draft web copy, manage some special projects","$42k original offer, negotiated $45k, raise after ~1 year"
Reporter,NPR Affiliate,"$52,000 ","White, non-binary",3,Midwest,"Reporting, data journalism, graphics visualization","hired at $48,000; $28,000 editorial assistant at different outlet"
senior online producer,NPR affiliate,"$80,000 ",cis white female,15,Los Angeles,"reporting and writing stories, overseeing a vertical on the radio station's site, assigning stories, editing stories, managing editorial calendar and budget, helping turn online stories to broadcast ones and broadcast stories into online stores, occasionally appearing on air, occasionally covering broadcast news. ","writer, reporter, editor, online producer"
Reporter,NPR Affiliate,"52,000","white, non-binary",3,Midwest,"Reporting, data journalism, data visualization","Hired at $48,000; previous job $28,000 editorial assistant"
Production Assistant,NPR Affiliate,"$49,000 ",cis white female,2,NYC Metro,"audio production, help with administrative aspects of running an office","unpaid internships, $12/day as intern at WNYC, $25/hour as temp at WNYC, $12-13 hour as desk assistant at a commercial station"
Program Manager,NPR Affiliate,"65,000",white cis female,5,Boston,,
Production Coordinator,NPR Affiliate,"$42,000 ",white cis female,1,Boston,"Daily research for public radio news magazine, audio production, booking, digital writing, show direction.",3.5 years as local daily newspaper reporter.
Digital News Editor,NPR Affiliate,"$37,000 ",Male / White,3,Columbus,"Editing and producing digital news content, reporting breaking news online, managing social media, photography, occasional radio reporting",
Engagement editor & reporter,NPR affiliate,"$43,000 ",cis white female,2,Wisconsin,"Social media management, newsletter curation, metrics reporting, grant writing assistance, reporting","$11/hr at Vox (intern), $12.50/hr at WI media non-profit (intern), $7.50/hr Wisconsin political outlet (intern)  "
News editor,NPR affiliate,"$63,000 ",white cis woman,14,midwest,"coordinate and edit broadcast & print of several reporters, set coverage priorities, communicate with national shows, contribute reporting as necessary/possible","previous salaries ranged from $37,000 to nearly $80,000"
reporter,NPR affiliate,"47,500",cis white hetero woman,6,Texas,"report, write, and produce stories for radio and web","reporter: $42,000"
Digital Producer,NPR affiliate,"$63,000 ",White cis straight male,4,Upper Midwest,"Write/report/edit digital and radio stories, social media, digital presentation and projects.","Associate Digital Producer -- $46,500"
Investigative Reporter,NPR Affiliate,61800,,9,Southern California,,
Reporter,NPR Affiliate,"$52,500 ",white female,5,Baltimore,report breaking news and enterprise story for radio and web,"temp reporter at NPR, $70,000
temp reporter at WAMU, $51,000
temp producer at NPR, $45,000
intern at WNYC, $12 a freakin day (they have since begun to pay interns)"
News Director,NPR Affiliate,"$51,000 ",CIS White Male,12,Upstate New York,"Edit scripts, write scripts, prepare newscasts, on-air","Started as a news producer in 2008 at $26,000"
Podcast/Radio Host,NPR Affiliate,75000,Male / Cis / White,8,New Hampshire,"Reporting, Editing, Audio Production... an ""everyone does everything"" kinda shop","Started at $40,000 in 2011 and worked way up"
Reporter,NPR affiliate,"52,000",White male,3,Atlanta,"Beat reporter: web, audio, reporter radio features, interviews with hosts, etc. ",
Reporter,NPR affiliate,"53,000",cis white female,5,Rocky Mountains,Politics/government beat coverage; write newsletter and produce a podcast.,At my current station: $12/ hour part-time. Hired on full-time at $40k
Co-Host/Producer,NPR Affiliate,"$56,000 ",Cis Female / East Asian,1,Midwest,"Writing, Pitching, Producing, Interviewing, Hosting a Podcast",
"Reporter, Producer, Host",NPR Affiliate,"30,000",Cis WOC,2,,Report/produce daily news content; fill-in board operator/newscaster,
Reporter,NPR Affiliate ,"$50,000 ",Cis-Queer-White-Male,2,Midwest,"Cover daily news, report features, write web copy, shoot photos",NPR affiliate fellow: $25/hr (part-time)
GA Reporter,NPR affiliate ,"43,520","cis gender woman, black",,Midwest,pitch daily and enterprise stories for air/web,intern $12hr
Reporter,NPR affiliate ,"44,000",White bi female,5,Midwest,Reporting daily and enterprising stories ,
Associate Producer,NPR affiliate ,"$45,000 ",cis white female,3,Boston,"Produce a weekly two-part local news program from start to finish. Duties include but not limited to: Generating ideas for segments, booking, social media, managing interns, writing scripts, pulling archival tape for interviews, writing promos, filing invoices for regular contributors and writing show weekly newsletter.",44k as a contract news assistant at NPR National.
Digital Producer,NPR affiliate in D.C.,"65,000","cis-female, bi-racial (white/south asian)",1,"Washington, D.C.","audience engagement, social media posting, website wrangling, occasional on-air production, other duties as assigned. ","freelance producer, $30/hr, intern ($12/hr and before that unpaid)"
Reporter,NPR affiliate station,"$50,000 ",cis female/mixed race,7,Atlanta,"reporting, audio production ",reporter
Reporter / Producer,NPR member station,"64,000",white het cis woman,9,Pacific Northwest,"pitching, reporting and producing stories for radio and digital audience","started @ 62,500 in 2018. Previously: reporter in major east coast market @ 60K. starting salary in public media was 2015, producer 38K."
Reporter,NPR Member Station,"50,000",cis white woman,5,Florida,,
Producer & Host ,NPR Member Station,"45,000","Cis, woman, white, bisexual ",2,Upper Midwest midsize city ,"Produce news magazines, produce podcasts, fill-in host shows, cover breaking news",
Reporter,NPR member station,"43,000",cis Latina ,3.5,San Joaquin Valley,Immigration reporter covering daily stories and producing features on weekly basis.,"McClatchy, reporter, 32,000"
Reporter,NPR Member Station,"$35,000 ",white cis woman,3.5,"Buffalo, NY","Pitching, reporting and producing everything from breaking news to feature stories for radio and digital (combination of general assignment and beat reporting)",Intern at WNYC ($13/hour)
Inclusion Reporter,NPR Member Station,"41,000",Latina Cis Woman ,5,Michigan,,
Reporter,NPR member station ,"69,000",Cis white woman,11,Boston,Report and write stories,"Reporter, online news organization, $75,000; reporter Midwest daily, $60,000"
Senior Editor,NPR Member Station (Top-10 Market),"92,700","Cis, Latino/White",13,East Coast,"Determine coverage w/several reporters, edit radio and digital stories, cover and edit breaking news, develop podcast, light social media work","Senior Producer at a podcast startup, 80k; Senior Producer at an NPR distributed show, 70k; Producer at a PRI distributed show, 55k"
Janitor,NTY,"$19,000 ",Hispanic,15,New York City,Cleaning,
"Reportera, redactora",Nuestro Diario,Q6250,Ladina,9,Guatemala,"Reportear, investigar, entrevistar a fuentes informativas , redacción de material informativo, toma de fotografías y video.",
Staff Writer,NY Magazine,"87,000",Cis White Female,5,NY,Blogging + reported features for web and print,
Producer,NY1,"70,000",straight/cis/white,6,NY,,
Deputy Editor,NYC Local News,"$160,000 ",Black man,20,New York,"Edit stories, assign stories, managerial and personnel duties","$150,000 as senior editor on major national news network digital team"
Senior writer,NYDN,"$99,000 ",cis white female,18,,NYC,
reporter,NYDN,55k,male,,,,
Correspondent,NYT,"$61,000 ",cis white female,14,SF,"Reporting, researching, writing, lots of rounds with editors",
Fellow,NYT,"$74,000 ",,(all fellows are paid the same),NY,https://www.nytimes.com/interactive/2018/jobs/times-fellowship.html,
Video Producer,NYT,"$75,000 ",cis PoC woman,3,NYC,"pitch, shoot, edit, and create motion graphics for videos",
Deputy Editor (Major Section) ,NYT,"$145,000 ",CIS-Female,"15 years, 3 freelance",NYC,#NAME?,"-85000 digital producer NYT
-100000 digital editor 
-120000 senior editor"
Senior News Assistant,NYT,"74,000",cis latina female,2,NYT,"social media, reporting + writing, research and sometimes fact checking, some admin work, little desk errands here and there","news assistant -- 52,000"
News Assistant ,NYT,"65,000-75,000",cis POC woman,2,NYC,"ranges from design assistance, social media, fact-checking, reporting, writing, etc.",
Editorial Assistant,NYT,"68,000",Cis white female,2,New York,"fact checking, schedule maintaining, administrative duties","Assistant editor of a regional magazine, 28,000"
Producer,NYT,"76,000",Cis white female,5,New York,Podcast production,"Editorial assistant, 66,0000"
News Assistant,NYT,"$56,000 ",cis POC womxn,3,NYC,"Manage social, writing and reporting, contributing to newsletters, managing phones and emails, occasional fact-check and research and admin work","Editorial Intern (Unpaid); Editorial Intern ($600/$700 bi-weekly); Student Office Assistant ($10/$11); Contributing Writer (Unpaid); Contributing Editor (Unpaid); Editorial Design Intern (Unpaid); Sales Intern (Unpaid, $200/week stipend); Front Desk Staff ($11-$14/hour); Community Lead ($14)"
Metro reporter,NYT,"120,000","Female, white",8,New York,General Assignment & Investigations,"Trainee reporter (8i or ""fellow"") $75,000 [set rate] junior reporter: $95,000, metro reporter $105,000"
Video Producer,NYT,"83,000",cis PoC Woman,7,New York,"Pitching, researching, reporting video news stories. Editing video and occasional filming.","45,000 Producer & On-Camera Reporter salary; 55,000 Producer & On-Camera Reporter"
Editor (We Throw This Term Around A Lot),NYT,"122,500 (We do inflation increases yearly)",Cis-Black Queer Man,4,NYC,"I teach reporters how to do things, occasionally write stories (get paid extra for bylines) ","Video Producer (NBC News Digital) - 67,000

Video Producer (VICE News) - 50,000"
Correspondent,NYT,"129,000",CIS POC Female,15,,,
Senior Editor,NYT,"125,000",poc cis woman,8,NYC,"commission, assign and edit pieces, pitch stories","Online mag:
blog writing intern, unpaid one semester and paid second semester
writer (full-time independent contractor), 32k
staff writer/editor/podcasting (over the course of 5+ years), ~39k-82k"
Reporter,NYT,"135,000 + 10,000 signing bonus",het. WOC,8,NYC,Beat reporting,
Visual journalist,NYT,"125,000",Cis white female,7,,"Report, write, collect and analyze data, build charts, maps and interactive graphics","Data reporter / graphics editor, 120k / 88k"
Journalist,Oath (RYOT Studio),90k,POC female ,4,"New York, New York","Researching, interviewing, pitching, and writing content for all of Oath's digital entities. Also brainstorming, pitching, and creating ideas for RFPs for Oath's creative agency. ","Associate Producer, Digital Producer (65k)"
Community reporter ,Observer Media Group,"$33,000 ",Cis white female,1,"Sarasota, FL","Event coverage, enterprising features, social media, posting stories, calendar",Mizzou j-school student/Vox Magazine city life editor
"Reporter, assistant editor",Ogden,"$32,000 ",white cis woman,5,Ohio,,Military
Staff Reporter,Ogden Newspapers,$14.91 per hour,cis white male,3+ years experience,Utah,"daily beat reporting, photos, social media",
Associate Editor,Ogden Newspapers,"18,000","CIS Male, white",2,Michigan,"Write, paginate, train, manage freelancers, social media, photography... It's a small newsroom, I do it all.","Started as staff reporter in the same location after working as an editor and reporter at college paper and a one-semester internship with a non-profit. Other work experience is outside the field, but fairly extensive."
Page designer/copy editor,Ogden Newspapers,"$36,414 ",Cis male,14,U.S.,,"$29,500 page designer/copy editor; $35,000 copy editor"
Copy editor,Online nonprofit,"53,000",cis WOC,10,Remote,copy edit and fact check articles before publish; line edit if necessary; edit newsletters,"Sr. copy editor at digital news outlet in NYC: 54,000 "
Engagement editor,Online nonprofit,"45,000",cis POC female,2,Chicago,"Manage social accounts and build strategy, audience-driven reporting, work on engagement strategy for stories",First job out of undergrad. Have not received a merit raise.
Reporter,Oregon Public Broadcasting,"64,000",white cis female,9,Oregon,"pitching, reporting and producing stories for radio and digital",
Managing editor,Outdoor Content-Driven Website ,"30,000","CIS female, caucasian ",7,Montana,"Writing features and news, editing, curating content, managing writing team, social media, content mapping and planning","Senior Editor for local magazine (20k/year), Inside sales for outdoor apparel (40k/year)"
Freelance Writer,Outside Magazine,50 cents a word,Caucasian,3,"Los Angeles, CA",,
Director Social Media & Partnerships,OZY,130000,white male,4,NYC/SF,Effectively head of audience development with a social media title,"Senior Social Media Editor, Editorial Partnerships - Huffington Post"
Photo Editor,OZY media,80k,CIS Female / Hispanic,3,Mountain View California ,"Selecting stock images for general stories, hiring freelancers around the world, commissioning illustrations for conceptual stories, creating photo illustrations, data viz development, negotiating one off photo purchases, photographing in the field ",Prior to that as an associate photo editor I made $20-25 an hr on contract for a Condé Nast Publication 
"Director Social Media, Partnerships",OZY Media,"$130,000 + $20,000 equity + $10,000 EOY Bonus",White Male,4,NYC/Mountain View,Effectively Audience Development lead,"Senior Social Media Editor, Editorial Partnerships - HuffPost"
Digital editor ,Pace ,40000,I'm not answering this ,4,"Greensboro, North Carolina",Lead content campaigns for national brands ,
Section Editor,Pacific mags,$78000AUD,Woman white ,10,Sydney Australia,"creating and overseeing content for my section inc photoshoots, writing and editing. ",
Digital Manager Editor,PAPER Magazine,"70,000",Cis White Gay Male,7,NYC,Responsible for all things digital (web + social),"Digital Managing Editor at OUT, Lead Fashion Editor at Bullett"
Community reporter ,Part of a larger company,"36,000",Cis POC Male ,6,Los Angeles ,Deal with multiple agencies as part of beat that can range from long term work to breaking news. Expected to file four to six stories in a given week. ,Previously paid similar salary in similar role at smaller paper.
Local Editor,Patch,"$43,000 ",cis-het woman,3.5,"work from home,  mid atlantic",Independently run a number of local sites and cover everything that goes on in 20+ towns,
Reporter/editor ,Patch,"50,000",Cis white male,15,New England ,"Writing, reporting, photos, social media, projects","$25-32,000 as a reporter in the Northeast, Midwest"
Reporter/Editor,Patch,"$54,000 ",cis bisexual poc female,2.5,NYC,"write, report, edit, research, take photos, post on social media, manage and moderate comments and user-generated posts, curate newsletters, manage homepages, other editorial duties as needed",
Reporter/Editor,Patch,"50,000",White female,1,,,
Regional editor,Patch,"42,000",Cis het white male,1,Seattle,,N/A (entry-level)
Local editor,Patch.com,"$48,000/year",cis female/white,10,Colorado,Daily content for 9 hyperlocal sites," $40,000/year local reporter/Chronicle Illinois/Illinois
$28,000/year local reporter/Wednesday Journal  Inc./Illinois
$155/day writer United Press International"
Reporter,Patch.com,"45,000",Cis Female/White,5,"Long Island, NY","Covered all forms of local news, managed social media pages, organized news alerts and newsletters, made news judgements for team on major and regional breaking news stories",N/A
Staff Writer,Paxton Media,$12 an hour,White female,8,Georgia,"Write and cover news stories, photograph news, write monthly health magazine, social media director",
Managing editor,Paxton Media Group (Log Cabin Democrat),"$30,200 ",Female/white ,6,Arkansas ,"Writing, editing, photography ",Reporter
Video Producer ,PBS ,72000,Female,5,"Washington, DC","scripting, reporting, and producing short form digital documentaries with a photographer/video editor. ","65000, video producer "
Digital Producer,PBS Affiliate,"$42,000 ",CIS White Female,3,Salt Lake City,"Project manage team of producers/marketing personnel for ongoing digital series, host, shoot and edit video/photo, write blog posts/social copy, strategize content. ",
Senior Associate Producer,PBS Affiliate,"49,500 USD",White cis woman,7,Midwest,"Editing social and short digital video deliverables, research and writing for development, project management","1750 per week as a digital director/story producer, previous titles include field producer, producer, field coordinator, casting AP, video consultant"
Producer,PBS NewsHour,"75,000",Cis woman / white ,5,"Washington, DC",,
Reporter-Producer,PBS NewsHour,"$47,500 ",Female/White,3,Washington DC,"Outline, script, produce day-of news segments on tight deadlines. Edit and cut news summary VO/SOTs, script shorter news summary scripts. Create infographics. ","$22/hr, freelance associate producer, researcher"
Desk Editor,PBS NewsHour,"$60,000 ",CIS Asian Male,15,"Washington, DC","managing desk, breaking news, ingest, field crews, production operations, etc","Prod Coordinator ($250/day), Studio Tech ($62k/yr), Line Producer, Multimedia Producer"
Junior Graphic Designer,PenFed,"52,000",Gay female/white,1,Tyson's VA,"Create product designs for digital ads, social posts, printed pieces, and email coding for internal use, branch use, and consumer advertising",
Assistant Editor,Penguin Random House,"43,000",Cis white woman,6,NYC,,
Editorial Assistant,Penguin Random House,"40,800",Cis white woman ,3,NYC,,
Editorial assistant,Penguin Random House,"41,000",Cis white female,4,New York,Basically a glorified administrative assistant slash editor ,"Intern, unpaid "
Assistant Marketing Manager,Penguin Random House,"60,000",white female,5,NYC,,
Senior Publicist,Penguin Random House,"61,000",Caucasian Woman,5,NYC,,"Publicist - 46k; Associate Publicist - 38k, Publicity Assistant - 33k"
Coordinator,Penguin Random House ,"41,000",White female,6,Canada,,Intern (unpaid)
Senior Editor,Penske Media (HollywoodLife),"$65,000.00 ",cis white female,5,NYC,"- Writing 8-10 stories/day, pitching, assigning, reporting, every holiday, awards show, tv event, including recaps/reactions. 
- Being on call 24/7/365 for news coverage despite PM/LA and weekend teams.
- Working a 6-8 hour awards show was rewarded with approximately 2.5 hours towards a “comp day”",
Deputy Editor,Penske Media Company,95,cis white woman,8,NYC,,
Deputy editor,Penske Media Corporation,"90,000",Cis gay black male,10,New York City,Literally everything.,
Reportera de Sociales y Cultura,Periódico Abc de la Costa,4000 MXN / por mes,Mujer latina,6,"Lázaro Cárdenas Michoacán, México","Reportear, fotografíar y escribir todo lo relacionado a Sociales y Cultura de mi ciudad",
Senior editor,Personal finance website (too small to name),"$71,000 ",Cis white female,12,Florida,,
Digital producer,Pew Research Center,~60000 after tax ,Cis white woman ,5,DC,Manage digital production + more for a key and valuable project. ,
Reporter,Philadelphia Inquirer,"$62,000 ",cishet white female,6 years ,"Philadelphia, Pa","Reporting, writing. The usual.","Reported at various other local news pubs, started at $50K, then $55K now ~$62K"
Reporter,Philadelphia Inquirer,"$66,000 ",cis poc female,8 years,Philadelphia,reporting and writing,"Started at $30K for a grant-funded, 30-hour/wk job that was essentially full-time w/ no benefits, then online publication where I started at $31K as a full-time reporter w/ no benefits, eventually got benefits and worked up to $50K after five years and becoming editor "
Digital photo editor,Philadelphia Inquirer,"$62,000 ",cis hetero white woman,5,Philadelphia,"Curate images for stories on website, build galleries, help develop visuals ideas, advise and troubleshoot photo issues, visual quality control online, make selections for print paper as needed","Reporter @ The Journal in Martinsburg WV: $24,960 - Reporter @ The Charleston Gazette-Mail in Charleston WV: $27,200 (started at $26,500) - Photo technician @ The Salt Lake Tribune in Salt Lake City: $36,500 - Digital media manager @ The Salt Lake Tribune in SLC: $39,000"
Digital Editor,Philadelphia Tribune,"60,000",Female,10,Philadelphia,"Managed newspaper website, updated breaking news, managed social media, video stories",
Segment Producer,Pilgrim Media,$1800/week,Female Latina ,20,"Los Angeles, CA","Pitch stories, pre-interview, vendor outreach, trade outs, shoot outlines, schedules","Associate producer $1750/week, writer/producer $2000/week"
Copy editor and page designer,Pittsburgh Post-Gazette,"60,480",Female / White,5,"Pittsburgh, PA",Copy editing and page design ,"I was hired as a two-year associate (an entry level job) and made $29K the first year, $31,850 the second year, then got bumped to $46,526 the third year. "
Reporter,Politico,"$100,000 ","Male, white",12,Brussels,"lead writer, scoops, features, podcasts ","started on $20,000 on an industry newsletter"
Reporter,POLITICO,73000,Cis white female,3,New York,Writing daily stories and working on a daily newsletter,"43000, associate editor at SourceMedia"
reporter,Politico,"70,000",male/bi-racial,7,DC,daily reporting,"53,000 at previous magazine"
Digital Producer,POLITICO,"$50,000 ",cis white female,1.5,"Washington, D.C.","Copy editing content, formatting articles for the website, arting stories, tracking stats, occasional writing tasks, other misc. jobs","Reporting intern, $33,000; Reporting intern, $400/mo"
Senior Reporter,POLITICO,"$122,000 ",White,15,,"Features, analysis news",
Reporter,POLITICO,"67,000",white male,12,"Washington, D.C.","Reporting, writing","reporter for 12 years, started at $33,000, then $50k, then $60k before this job. "
Reporter/newsletter writer,POLITICO,"57,000",cis/white,3,DC,"reporting, producing daily newsletter",
Reporter (politics),POLITICO,"75,000",White female,10,Washington DC,Reporting daily and enterprise stories,
Reporter,POLITICO,$80k,Cis white female,5,"Washington, DC","Reporting, writing","$64k (producer/reporter @ digital media company), $55k (producer @ newspaper company)"
Reporter,Politico,"72,000",Cis Asian female,7,DC,"Reporting, writing",
Senior Editor,Popsugar,"85,000",Gay female / Hispanic,7.5,New York,"Manage team, edit all stories, coordinate with sales",
Assistant editor,Popular Science,"$48,000 ",cis white female,7,New York,"write multiple stories a week for the website, edit multiple web freelance stories a week, manage a section of the print magazine (pitch, assign, and edit pieces, coordinate with art, etc.), write for each section of the print magazine, contribute to a weekly podcast, appear on 3rd party media as needed","promoted from editorial assistant, which had a salary of $40,000"
Assistant Editor,Popular Science,"48,000",White cis woman,4,NYC,"Assign/edit/write stories for online, assign/edit/write stories for the quarterly print magazine, contribute to a weekly podcast",Promoted from Editorial Assistant at $40k a year
reporter,Portland Press Herald,"50,750",white female ,24,Maine,reporter,
Web Editor,Postmedia,"50,000 (Canadian, no vacation/benefits)","Cisgender female, POC",5,Toronto,,
Reporter,Postmedia,"47,000",Female,5,canada,reporter,reporter
Multimedia reporter,Postmedia (Timmins Daily Press),"$1,362 biweekly (approx. $35,000)","White, cis, bi, female",7,"Timmins, ON","* This was an offer, which I turned down because I had already established to the company that I was making more than $10K more per year at the time. They had been searching for a reporter for several months prior and continued their search for six months after.

Five days per week (Tuesday - Saturday) with overtime. Mainly City Hall and court reporting. Some editing required. Own car required. Photography required. Some videography required. Offer was made knowing that I would be moving from Toronto; no compensation for relocation was offered.","News editor for a Toronto print magazine, staff writer and news editor for a Toronto B2B mag, editor of several ongoing special projects at said B2B mag"
Managing Editor,powerHouse Books,"$54,000 ",CIS White Male,12,"Brooklyn, NY","Oversee production, traffic digital and physical materials, vet and acquire new titles, copyedit all titles, oversee designers, interns, broader editorial and creative direction, more...","Starting salary around $26,000 in 2009"
Photographer,"Prefer not to say, sorry",89050,Male,39,Chicago,Everything,
Teacher,Private School,75000,Male Australian,2,Australia,High School Maths Teacher,
Editor/Writer,Private University,"64,000",cis white male,14,,"Copyediting, proofreading, supervising and training interns, project management, client relations",
Supervising Producer,Production Company in Burbank,143000,Female,10,Los Angeles,,"Associate Producer, Producer, Senior Producer, Supervising Producer"
Data reporter,ProPublica,"90,000","cis-male, straight, asian",2.5,NYC,"Data analysis, cleaning, reporting and writing for investigations","Data reporter, Arizona Republic: $37,000 (2017-2018), $46,000 (2018-2019), $50,600 (2019)"
Editor in Chief,Propublica,"$395,000 (plus 57,000 additional compensation) ",M/W,,NYC,run organization,
senior reporter,ProPublica,"$230,504 (plus $52,000 in additional compensation) ",M/W,,NYC,writing,
Reporter ,ProPublica,"87,500",Cis White Female,6,New York,"Investigative reporting, light data reporting",
"Assistant editor, audience",ProPublica,75000,male poc,1.5,New York City,"Edit, right, manage social channels and platforms","ProPublica fellow (46.8k), Atlantic fellow (35k)"
Section editor,ProPublica,100K,white woman,,NYC,,
Reporter,ProPublica Illinois,"$70,000 ",cis POC female,12,Chicago,Investigative reporter,"Starting salary at ProPublica Illinos in 2017 was $60K. Prior to that: $48k-$51K at nonprofit online magazines, Catalyst Chicago and Chicago Reporter (2014-2017); $41-$50K at el Nuevo Herald (Miami) (2010-2013); around $37-$40K at Yakima (Wash.) Herald-Republic (2008-2010)"
